Tweet,Tweet IDs,Aggression,Arousal1 (1-5),Arousal2 (1-5),Arousal3 (1-5),Sarcasm-Irony-RhetoricalQuestions,Pun-Wordplay,Metaphor-Simile,Stance,Hate Speech,Avg. Arousal
bhai tumko to sab pehle se pata chal jata hai phir tum kaise fail ho gaye notebandi ke baare mein,#797368099272093696,c,3,4,3,YES,NO,NO,n,NO,3.333333333
notebandi ne to imandaaron ko hasaya par sarkaar ki kuvyavasthaon ne khoon ke aansu rula diye ! dhikkar hai aise nirnay par !,#797377504314990593,c,4,5,3,NO,NO,YES,a,NO,4
"@narendramodi notebandi se janata khush thi,par kuvyavasthaon se jo aapne khoon ke aansu desh ko rua diye, eiski izazat kisane di thi ?",#797381369617739778,c,3,4,2,YES,NO,YES,a,NO,3
Bhai @kamaalrkhan ye bhi dekh lo #NoteBandi https://twitter.com/AkhtarS29057021/status/797370413273653249/video/1 …,#797389852480139264,n,2,3,2,YES,NO,NO,n,NO,2.333333333
bhai bhale yeh ek desh k liye acchi baat hogi bt yahan yeh #notebandi galat intension se ki gai hai...,#797391404334870528,c,2,3,1,NO,NO,NO,a,NO,2
Notebandi ke karan bachchon ki maute ho rhi hn @PMOIndia,#797394351185858561,n,4,4,3,NO,NO,NO,a,NO,3.666666667
"Notebandi ke karan ho rhi bachchon ki mauto ka,bujurgo aur divyango ko ho rhi aafato ka jimmedar @ArvindKejriwal h: @nishantchat   Jai MODI",#797395192676569089,o,4,4,2,YES,NO,NO,f,YES,3.333333333
"Notebandi flop par,aaj ""Apne Munh Mian Mithu Banna"" yeh kispar lagoo hota hai?? @narendramodi",#797417630369869825,c,3,3,3,NO,NO,YES,a,NO,3
"Notebandi leak hua,kyon ki @BJP4India mein koi chilla nahin raha hai,matlab sabne pehle paise thikane laga diya @sandeep_news @ShahnawazBJP",#797433394497867776,c,2,4,3,NO,NO,NO,a,NO,3
Modi ne apne admiyon ko pahle bata doya tha notebandi ke baremain taki kaledhan ko safed bana sake.,#797435425467940864,n,1,3,1,NO,NO,NO,a,NO,1.666666667
@sandeep_news24 notebandi ki Khabar jarror modi ke logon ko thi.paresan Sirf aam Aadami hai.modiji me garibon ka khayal nahi rakha,#797437634897477632,n,1,2,1,NO,NO,NO,a,NO,1.333333333
sir bahut achha kiya aapne notebandi karke amir loge pareshan h ki kya kre. Sir me salute karta hu,#797439756250611715,n,3,3,3,NO,NO,NO,f,NO,3
Notebandi k saatsaat Modiji ko ek admi ko v band kar dena chahiye tha jo ghum ghum kar logon ko behka raha hai,#797442292667682817,c,2,3,2,NO,NO,NO,n,NO,2.333333333
notebandi ka aasar hone laga hai................. kejriwal ko bin chasme k nazar aane laga hai..................AANKH khol D,#797450733230518274,o,4,4,4,NO,NO,YES,f,NO,4
"aadarniye pradhan mantri ji,  notebandi par aapko koti koti dhanyawaad. modi ji in doctors par raid karo inke paas sabse jyada kala dhan hai",#797460130292002817,n,5,5,5,NO,NO,NO,f,NO,5
"notebandi ek bada aur jaruri opration, par nirshans-nausikhiye doctaron dwara kiya gaya! desh trast ho gaya !!",#797484514146557952,n,1,2,2,NO,NO,YES,f,NO,1.666666667
pee rakhi hai kya desi tuney notebandi movie kab aa gayi jo iska review kar raha hai tere profile pe to film critic likha hai,#797545176449228800,o,5,4,4,YES,NO,YES,n,YES,4.333333333
Log notebandi ke haal me bhi adjust kar rha hai aur jo note daba ke bethe hai sirf unhe jyada takleef hai ...wo adjust nhi kar pa rhe hai.,#797609990357860353,c,2,3,2,NO,NO,NO,f,NO,2.333333333
@ArvindKejriwal @PreetiSMenon hehe saare log bharat mein ab aaptard logic ke hisab se notebandi ki wajah se mar rhe hain.,#797654567873691648,o,3,2,3,YES,NO,NO,n,NO,2.666666667
neta logon hum aam janta hi apni Jan de sakte Hai Neta Sirf halla large hai.notebandi ka logistic view nahi dekha gaya,#797660917106438145,c,1,1,2,NO,NO,YES,a,NO,1.333333333
"See- *1 Pantajali meanes Ramdev ne large numbers of news channels ""Ad. Dekar "" gulam banaye. Jo Notebandi ki vakalat kar rahe",#797672849980919808,n,4,5,5,NO,NO,YES,n,NO,4.666666667
"@ramsarswat16 @ArvindKejriwal Kejriwal Bhrashtachar mukt rajniti ke nam Par,NoteBandi ka virodh kar Bhrashtachariyon ka Masiha",#797674836990377984,o,2,4,3,YES,NO,YES,a,NO,3
Doston jis din se notebandi hui h .ussi din se hamara media unn jawano ko shayad bhool gai h jo sharahd par ladte hue shaheed ho rahe h .,#797675063252291584,n,1,2,3,NO,NO,NO,n,NO,2
"MODIJI aapke JAN DHAN khaton mein raaton raat 50-50000 kiske jama ho gaye,kahin ye aapke sangathan ke khatadhari to nahi hain.",#797688776814276608,n,2,3,3,YES,NO,NO,a,NO,2.666666667
MODIJI har pradesh mein BLACK MONEY KA BANK(cooperative bank)hai jisme 90% vyavsayik khatadhari hote hain wahan TDS nahin kata jata!,#797689721027641344,n,1,2,1,YES,NO,YES,n,NO,1.333333333
"MODI KI NIYAT MEIN khot hai,ye 500 1000 ke band nahin MAHABHRASHTON KE LIYE 2000 ke NOTE chalu karne ka bahana hai.",#797690047826755584,o,3,4,3,NO,NO,NO,a,NO,3.333333333
"MODIJI 500 1000 ke NOTE band hote hi aapki party ke khate mein karodon ki baadh kahan se aa gayee,daandataon ke naam bataoge?",#797690226260852736,c,2,4,3,YES,NO,NO,a,NO,3
30 December ke baad kucch aisa hoga ke NOTEBANDI se aur apne kiye waade se dhayan hataya jayega. .,#797706897998680065,c,2,1,1,YES,NO,NO,a,NO,1.333333333
notebandi ke bare men logo ka reaction dekha sabhi bade khushh hain..kah rahe hain ki unke pas to ye note kabhi kbhar aate hain..jo ki....,#797713404093820930,n,2,2,2,NO,NO,NO,f,NO,2
MR. RAVISH VYAPARI IMAANDAR HAI.KANOON KA SANMAAN KARTSHAI. PAR MEDIA NEWS AUR TV. CHOR AUE HARAMKHOR HAI. #NOTEBANDI,#797725443767955456,o,5,5,5,NO,NO,YES,n,YES,5
"@ashokepandit @OfficeOfRG inko nasbandi se daar nahi lagta Hain Saab, notebandi se lagta Hain",#797732719719387137,c,3,3,2,YES,YES,NO,n,NO,2.666666667
waha ATM chalu hogaya hai #blackMoneycleanup #notebandi pic.twitter.com/ociCSsR1lL,#797736347028992000,n,3,2,2,NO,NO,NO,f,NO,2.333333333
Aaj deshwasiyo ka note barbard hua tho pata chala k 2014 mein unhone kese apna vite barbad kar diya #noteban #BJP #NoteBandi #CurrencyCrisis,#797736468978475008,c,1,1,1,NO,NO,YES,a,NO,1
"Aap  (Congress) Ne Chavanni Bund Ki Thi, Maine 500/1000 Ke Note Bund Kiye - #NaMoInBelgavi. #NoteBandi #ModiMasterStroke",#797738040017960960,n,2,3,2,NO,NO,YES,f,NO,2.333333333
"Kya baat, Is notebandi se pure AAPtardo ki sujhi lagati hai?",#797743354737889280,o,4,4,3,YES,NO,YES,n,NO,3.666666667
@narendramodi is notebandi faisle me hm indian aapke sth h. bs ek gujarish h ki jo ashay bujurg h unke liye banko kch subidha di jaye.,#797746896500617216,n,2,2,2,NO,NO,NO,f,NO,2
Notebandi se  imaandar log kaafi khush nazer a rahe  hain.,#797754011524939776,n,2,2,2,NO,NO,NO,f,NO,2
.NOTEBANDI KA ACHCHA ASAR YE BHI H KI JO LOG PAISA LE K BHUL GAYE THE VO 1000-500 ME HI SAHI PAISE LAUTA DE RAHE H @narendramodi,#797763941195661313,n,3,3,3,NO,NO,NO,f,NO,3
Dear sir  Lagta hai bina tayari ka notebandi hua hai 2000 ka note ka size kam nahi karna chahiye,#797767771752951808,n,2,2,2,NO,NO,NO,a,NO,2
"notebandi wapas lena nishchit hi kaledhanwalon ka samarthan hai,eise wapas nahin liya jana chahiye,par sarkaar naye note fauran sulabh kare",#797770076602535937,n,2,3,3,NO,NO,NO,f,NO,2.666666667
PAPPU KEJRI SUSRI BAHNJI AUR NETAJI KO HI    NOTBANDI SE PROBLEM HAI - IN CHORO KE LIYE HI TO RASHTRBHAI MODI JI NE NOTEBANDI KI HAI,#797771976286892032,o,4,5,4,NO,YES,YES,f,YES,4.333333333
@ArvindKejriwal  sir 500 aur 1000 ke notebandi ko wapis Karne ke apke faisle ko hum support nahi karte.,#797772105203019776,n,3,3,3,NO,NO,NO,f,NO,3
@SanjayAzadSln sir hum kejriwal ke 500 aur 1000 ki notebandi support nahi Karne se bahut dukhi huye.,#797772695186407424,n,3,2,3,NO,NO,NO,f,NO,2.666666667
@PMOIndia aapke notebandi nirnay se mai or mera parivar khush hai badle me aapko kali chaye mai garib pila sakta hu vo bhi jagdalpur aane pr,#797772836219723777,n,3,2,2,NO,NO,YES,f,NO,2.333333333
",ye to bakwas kar rhe hai. Aam janta notebandi aur black money ke is faisle se bhut kush hai.",#797774640596840448,n,3,4,2,NO,NO,NO,f,NO,3
Aaj subah @SrBachchan bank se paise nikal ke bahar niklte hue. #DeMonetisation #NoteBandi #PMModipic.twitter.com/QmxtBvtODV,#797778275699408897,n,3,2,2,NO,NO,NO,n,NO,2.333333333
Notebandi se har jagah pareshani,#797778873232609280,n,2,3,2,NO,NO,NO,a,NO,2.333333333
"NOTEBANDI Se Jo Ro Rahe Hai Samjh Lo Wo Sab Chor hai,Iska Matlab hai MODI JI Ne in CHORO Ki dukhti nas pe pair rakh Diya hai, ha..ha..ha...!",#797780717241565184,o,4,5,5,NO,NO,YES,f,NO,4.666666667
#NoteBandi Ka Naam Soon Te Hee Wo 'Phoot-Phoot Kar Ro Padee'? https://twitter.com/htTweets/status/797781062239879168 …,#797785597083582464,n,3,3,3,NO,NO,YES,n,NO,3
bjp ke feku log notebandi se problem nai hai hame . par jo croro log pareshan hai kai to mar bhi gaye uska kya,#797787170446643200,c,1,2,1,YES,NO,NO,a,NO,1.333333333
Notebandi se sabse jada paresani keju r aapio ko horahi he.chunav k lie kala dhan ekatra jo kia tha.,#797787974972936197,o,2,4,2,NO,YES,NO,f,NO,2.666666667
Sharad Pawar praises Modi! Saara paisa theekane lag gaya?? #NoteBandi #DeMonetisation #India,#797790028445335552,c,3,3,2,YES,NO,NO,a,NO,2.666666667
wo nasbandi me dubhi thi aur ab ye notebandi me dubegi,#797797446550192128,c,2,4,2,NO,YES,NO,a,NO,2.666666667
@narendramodi notebandi ka faisla  wapas. Nahi lena. H hame. Koi taklif  nahi h des ki bhalai. Ke liye hum itna. To kar hi sakte. h,#797798118330744832,n,2,3,2,NO,NO,NO,f,NO,2.333333333
"Ye neta notebandi par chikh rahe hain unka DNA test kijiye, Hum isase khush hai..56 inch ka seena dikha hi diya aakhir..@sudhirchaudhary",#797798913491304448,c,3,2,3,NO,NO,YES,f,NO,2.666666667
"Notebandi k khilaf Suprim court jana chahiye congress ko,Aam janta pareshan ho rahi he aur Dhandhe-Vyapar band ho gaye he.",#797800875959971840,n,3,3,3,NO,NO,NO,a,NO,3
pm modi apna notebandi ka faisla wapas lo.... warna soch Lena tumhe aur tumhari party ko vote ki ashaye chhod do...,#797807387134464004,o,3,4,2,NO,NO,NO,a,NO,3
"Jis 1000-500 ke notebandi ka pura Desh Modiji ka Samarthan kar rha hai use opposition leaders hazam nhi kar pai rhe hain, Why",#797807635940536321,n,3,4,3,YES,NO,NO,f,NO,3.333333333
In Congressi aur aam adloomi choron se toh lalu theek nikla curption ke aaropon k babjood notebandi par kuch ni bola #BlackMoney,#797810273771868160,o,4,4,3,NO,NO,NO,f,NO,3.666666667
Andheri raat ke bad ek sunhari subah hoti hai. So pls wait and watch @narendramodi @arunjaitley #NoteBandi https://twitter.com/kamaalrkhan/status/797738386295549952 …,#797815122202886144,n,3,3,3,NO,NO,YES,f,NO,3
Shyad ye notebandi tumhare mummy papa Ki shadi k time laga de hote aur shadi na hue hote to tere jase ko dekhna na padhta,#797818560294912000,c,3,4,3,YES,YES,YES,a,NO,3.333333333
@ArvindKejriwal pareshan hai notebandi ko wapas lene ki mang kar rahe hai kyuki inka to funding hi pakistan se hota hai dhanda manda ho gaya,#797822842771410945,o,3,2,3,NO,NO,YES,f,NO,2.666666667
Notebandi se kaladhan khatam honewala nahi,#797822952062361601,n,1,1,1,NO,NO,NO,a,NO,1
Nasbandi aur Notebandi anoon mein ek hi antar hai.  ek Napunsak banati thi doosri Napunsak ne banai hai.   #DeMonetisation #DeModitisation,#797822965039697920,o,3,4,2,NO,YES,YES,a,YES,3
Notebandi se kalabazari par rok lagega pm sahab ki sarthak pahal,#797826123438571520,n,3,2,3,NO,NO,NO,f,NO,2.666666667
na  ji naaa.....is notebandi ke kuch aur bhi fayde hain... pic.twitter.com/xqeh080SiX,#797833446903128069,c,3,3,3,NO,NO,NO,f,NO,3
Ek akele modi ne125crore janta ko notebandi ki suli pe latka diya amir log baz jayenge garib log line me bhooke piyase mar jayenge .,#797835880681574404,c,3,4,3,NO,NO,YES,a,NO,3.333333333
"#Modi ji, aashirwad nahin, log abhishaap De rahe hain... Nasbandi ne Sanjay Gandhi ki dukaan bandh ki thi Notebandi aapki band karwayegi https://twitter.com/TruthOfGujarat/status/797769071949385729 …",#797838935753768960,o,2,4,2,NO,NO,YES,a,NO,2.666666667
logo ka kitna samarthan hai notebandi ka ... kal hi chunav kara k dekh le.. PM JI,#797840715078365184,c,3,4,3,YES,NO,NO,a,NO,3.333333333
@wh0mi_ notebandi ho gai is @ArvindKejriwal ki nautanki bandi kab ho gi.,#797848100987695104,o,3,3,3,NO,YES,NO,n,NO,3
@aajtak @narendramodi notebandi hum logo ke lie.corrupted leaders ke lie nasbandi hogaya hai,#797850168280412160,c,3,3,3,NO,YES,NO,f,NO,3
Is notebandi ke dino mei ek dusre ki jitni help kr sakte ho kro aur PM ke faisle ki respect kro@@,#797854492465176576,n,2,3,2,NO,NO,NO,f,NO,2.333333333
Katappa ne bahubali ko isliye mara hoga kyuki bahubali usko salary 500/1000 ke note me deta hoga. #bahubali #BlackMoney #NoteBandi,#797867766770343936,n,3,3,3,YES,YES,YES,n,NO,3
@ArunbajpaiRajan Kachda Rajnity ka praneta Kejriwal Ki Aankhon me Dikhai vi nahi Deta ki PM ke NoteBandi se 90%+ Janta khush hai,#797872902653681665,o,3,4,2,YES,NO,NO,f,NO,3
Aise to jaise notebandi na hota to 200cr ho jata. Iss kalwe ko koi sharam nahi hai..publicity ke liye kuch bhi nhaukta hai https://twitter.com/SRKrider1/status/797853827428794368 …,#797878275309703168,o,5,5,5,NO,NO,YES,n,NO,5
"#NoteBandi , yaahan to ye haalat ho tai hai k apne pass ho k bhi hum khali jeb hai.. Bank and atm are out of cash.. #fekumodi",#797880448248483840,c,2,1,1,NO,NO,YES,a,NO,1.333333333
Sabhi media chanelo se vinamra appil hai ki aisi khabare na dikhaye ki logo me dar paida na ho notebandi ko lekar. Nivedak -: Aam nagarik.,#797885609612165121,n,2,2,1,NO,NO,NO,n,NO,1.666666667
notebandi to un millionire ke liye jo taxpaid nahi karte aur behisav money apne ghar me rakhte hai.,#797956826058760192,n,2,1,1,NO,NO,NO,f,NO,1.333333333
modi ji notebandi ki dikkat ko door karne k liye 200 rupay ka note bi market me laao. Chae 50ka band ho jaye,#797988016581001217,n,2,1,1,NO,NO,NO,n,NO,1.333333333
"Arvind Kejriwal ki 500-1000 ki notebandi ke baad se badhti baichaini saaf najar aa rahi , pata nahi ushne kitna kala dhan jama kar rakha hai",#797993336833310721,c,3,3,3,YES,NO,NO,f,NO,3
aap note bandi par pehle se tayari kar ke rakhte ab janta ko ho rahe asantosh ka kya please ans me. #notebandi,#798014098818691072,n,2,4,2,YES,NO,NO,a,NO,2.666666667
"janta modi ji ko support kr rahi h aur neta jhuth bolkar kah rahe h log presan h , band kro ye notebandi, chor kahi ke",#798016481040576512,o,2,3,2,NO,NO,YES,f,NO,2.333333333
bharatvaasiyon se appeal hai ki notebandi ke baad sabhi ek doosre ka sehyog kare vastuon ka aadan pradan kare taaki koi bhukha na rahe ...,#798018556294115328,n,2,1,2,NO,NO,NO,n,NO,1.666666667
Agar notebandi se in partiyon ka kala dhan khatm hoga aur wo samapt hongi to kya bachi hui party ke paas kala dhan nahi tha,#798022295419691008,c,2,2,1,YES,NO,NO,n,NO,1.666666667
notebandi to notebandi ye bangalore ki lightbandi (electricity power cut) ne bhi kam pareshan nahi kiya hua hai!!,#798026775699726336,n,3,3,3,NO,YES,NO,n,NO,3
notebandi ek acha karya hai lekin poor log paresan hai jinke ghar marriage hai,#798034967095693312,n,1,1,1,NO,NO,NO,f,NO,1
"@KapilSharmaK9 13/11 ko #Ttks nahi aaya to aisa laga jaise #NoteBandi ho gayi ho,purane note ki tarah old episode hi dekhe @preeti_simoes",#798035671336112129,n,3,2,3,NO,NO,NO,n,NO,2.666666667
#NoteBandi jai Ho,#798035856552431616,n,3,3,3,NO,NO,NO,f,NO,3
Jai Ho #NoteBandi,#798036068029239296,n,3,3,3,NO,NO,NO,f,NO,3
@narendramodi ji...Aap ne jo notebandi ka jo faisla kiya.. Hai jo kahi achcha hai or kala dhan pe lagam lgega.. Or iska pasinaam durgami hai,#798044989045415937,n,3,3,3,NO,NO,NO,f,NO,3
"MODI JI KA DESHVIYAPI ""NOTEBANDI ABHIYAAN"" KO LOG MODI JI KA DESHVIYAPI ""NASBANDI ABHIYAAN"" LIKHKAR JOKE FORWARD KAR RAHE HAIN...",#798055383596007424,n,3,4,3,NO,YES,NO,n,NO,3.333333333
Aaj Modi Ke is NoteBandi Ke karan Lakho caroro Rupye Nadi me Beh rhe hai..In Rupyo ke bare me kyu Nahi sochte hai... pic.twitter.com/Tis2wzcUtN,#798057392055255040,c,2,2,3,YES,NO,NO,a,NO,2.333333333
Modiji notebandi per aapne apni mann ki baat kerli ab kala dhan aa gaya hai janta ko 15 lakh kab milenge ????bada sawal,#798059746011979776,c,2,4,2,YES,NO,NO,n,NO,2.666666667
Modi Ji Ki Athanni Kho Gayi Isliye NoteBandi,#798063088255676416,n,2,1,2,YES,NO,YES,n,NO,1.666666667
"AB MODI JI KO KAUN SAMJHAYE KI SIRF ""NOTEBANDI"" ABHIYAAN SE DESH KA BHALA NAHI HOGA ""NASBANDI"" ABHIYAAN BHI ESI KESATH CHALANA HOGA",#798063870933798912,c,3,2,3,YES,YES,NO,f,NO,2.666666667
"Ye #NoteBandi nahi, ye yuddha h. Ye 1947 ke baad sabse bada yuddha h. Ye 1962, 1965, 1971 se bafa yuddha h. Ye androoni dushman se yuddha h.",#798068268015550464,c,4,5,4,NO,NO,YES,f,NO,4.333333333
#Ghazipur .... Congress logon ki nasbandhi krwaa ke notebandi pe sawal utha rhii hai.......,#798070029971431424,c,3,3,3,NO,YES,NO,f,NO,3
"Modiji.... ""Notebandi k baad se garib chain se so raha hai... Kaaledhan waale neend ki goliya leraha hai """,#798070431215456256,n,2,3,2,NO,NO,YES,f,NO,2.333333333
"Hamare desh ka durbhgya hai ki hamare neta rajniti karna nhi chodenge,fir wo shahid ho  ya balatkar ho ya fir notebandi ho.",#798075345656225792,c,1,3,3,NO,NO,NO,n,NO,2.333333333
"@ArvindKejriwal ""aam aadmi Mar rha hai. Koi ameer dikha line mein khada"".  Aap bhi toh nhi dikhey!  #NoteBandi #BlackMoneybyebye",#798075899300216833,c,2,3,2,YES,NO,NO,f,NO,2.333333333
@ArvindKejriwal AAPke paas kala dhan chahe naa ho par kala mann  jarur..yeh jo notebandi par tum drame kar rahe ho mujhe bilkul psnd nhi aye,#798076043605065729,o,3,4,3,NO,YES,NO,f,NO,3.333333333
@ArvindKejriwal @narendramodi m bhi AAP ka supporter tha but tmhare notebandi k dramo se bhul jaayo ki hum punjab mein aap ki sarkar layenge,#798076419502796800,c,3,3,2,NO,NO,NO,f,NO,2.666666667
tum to aeise paagal ho Gaye ho jaise modi Ji ne notebandi nahi balki tumhari nasbandi karwa Di hai...,#798078720321945600,o,3,3,2,NO,YES,NO,n,NO,2.666666667
Kuch presani hogi per notebandi ka faisla acha h,#798087801212276736,n,2,1,2,NO,NO,NO,f,NO,1.666666667
mai hai bt aap to khud apna black money chupane mai lge hai tbhi aap modi ji k khilaf hai.aaj log bhukhe mr rhe hai to notebandi ka reason,#798088338141908992,n,3,3,3,NO,NO,NO,n,NO,3
Mamata banerji aap kai naam hi mamta hai to ise sabit kijiye dekho is maa ko modi kai notebandi nai mila diya.,#798089236092026880,c,3,3,3,NO,NO,NO,n,NO,3
"@narendramodi maan gaye sirji aapko, sirf aap hi notebandi karwa sakte the.mera desh badal raha hai. Jai hind.",#798089942383656960,n,3,3,3,NO,NO,NO,f,NO,3
Notebandi se logo ko khana aur dava nahi mil raha hai,#798095080057778176,n,1,1,2,NO,NO,NO,a,NO,1.333333333
Mai ek aam admi hu aur ab chain ki nind so rha hu .Mughe notebandi se thodi si taqlif jarur hui hai lekin usase jyada fayda hua hai.,#798097338921320448,n,3,3,3,NO,NO,YES,f,NO,3
16 se SANSAD kA satra shuru honewala hai ? Mera congress se ek sawal hai.  CONGRESS NOTEBANDI ke virodh me MAMTA DIDI ke MORCHE ke saath hai,#798111785974906880,n,3,2,3,NO,NO,NO,n,NO,2.666666667
@ArvindKejriwal  ISS WAQT TO NATURAL DEATH BHI NOTEBANDI KI WAJAH SE HUI HAI SIRRJEE UNHE 1CRORE DENGE KYA,#798114437769154560,c,3,4,3,YES,NO,NO,f,NO,3.333333333
